date;heure;fuseau;compte;type;legende;medias;lien;commentaire;campagne
2026-09-01;18:30;Europe/Paris;Mon Artifice (facebook);photo;"On se présente, puisque ce compte commence.

Mon Artifice est une boutique en ligne de feux d'artifice, pour les particuliers comme pour les professionnels. Et c'est la boutique de Ciels en Fête, la société avec laquelle nous concevons et tirons des feux pour des villes, des mariages et des événements privés.

Disons les choses clairement : nous ne fabriquons pas. Personne ne fabrique. Dans ce métier, toutes les boutiques vendent des produits sortis des mêmes usines — la seule variable, c'est la sélection.

La différence se joue donc sur une seule chose : qui choisit.

Chez la plupart des boutiques, c'est un acheteur derrière un écran. Ici, ce sont deux artificiers qui passent leurs week-ends à mécher des dispositifs, à câbler des inflammateurs et à appuyer sur le bouton. Ce qu'on met au catalogue, on l'a tiré.

Cette page va servir à trois choses :

🎆 Vous montrer l'envers du décor. Le méchage, le montage des dispositifs, la mise à feu. Des choses que le public ne voit jamais, et qui sont pourtant l'essentiel du travail.

📋 Vous expliquer ce qu'il faut savoir avant d'acheter un feu d'artifice. Réglementation, sécurité, distances, choix de la durée. Sans jargon et sans vous vendre quoi que ce soit.

🛒 Et bientôt, vous ouvrir la boutique. Elle arrive, on vous en reparle très vite.

En attendant, si vous préparez un événement et que vous avez une question : écrivez-nous. On répond à tout le monde, gratuitement et sans engagement.

#artificier #feudartifice #MonArtifice";2026-09-01-communaute-qui-on-est.jpg;;;Mon Artifice — Septembre 2026
2026-09-01;18:30;Europe/Paris;Mon Artifice (instagram);photo;"On se présente, puisque ce compte commence.

Mon Artifice, c'est une boutique en ligne de feux d'artifice. Et c'est la boutique de Ciels en Fête, la société avec laquelle on tire des feux pour des villes, des mariages, des événements.

On ne fabrique pas. Personne ne fabrique : dans ce métier, tout le monde choisit dans ce qui existe.

La différence se joue donc sur une seule chose : qui choisit.

Chez la plupart des boutiques, c'est un acheteur. Ici, ce sont deux artificiers qui passent leurs week-ends à mécher, à monter des dispositifs et à appuyer sur le bouton.

Ce qu'on vend, on le tire.

Ce compte servira à trois choses :

→ Vous montrer l'envers du décor. Le méchage, le montage, la mise à feu. Des choses qu'on ne voit jamais.
→ Vous expliquer ce qu'il faut savoir avant d'acheter un feu. Réglementation, sécurité, distances. Sans jargon.
→ Et bientôt, vous ouvrir la boutique.

Elle arrive. On vous en reparle très vite.

En attendant : une question sur un projet ? Écrivez-nous en message privé. On répond à tout le monde 💬

#MonArtifice #artificier #feudartifice #pyrotechnie #boutiqueenligne #metier #savoirfaire #presentation #feuxdartifice #artificierprofessionnel #france #nouveaucompte #expertise";2026-09-01-communaute-qui-on-est.jpg;;;Mon Artifice — Septembre 2026
2026-09-02;12:30;Europe/Paris;Mon Artifice (facebook);carousel;"Deux feux d'artifice. Même durée. Un rendu totalement différent.

🔸 Le compact : tous les départs partent du même point et montent droit. L'effet est puissant et concentré. C'est le bon choix quand vos invités sont proches et regardent tous dans la même direction.

🔸 L'éventail : les départs s'ouvrent en largeur et balaient le ciel. L'effet est panoramique, et nettement meilleur en vidéo — donc davantage partagé par vos invités.

Ce n'est pas une question de qualité : les deux sont excellents. C'est une question de terrain et de placement du public.

Vous hésitez ? Décrivez-nous votre lieu en commentaire, on vous oriente gratuitement. 👇

#feudartifice #conseil #MonArtifice";2026-09-02-coulisses-compact-ou-eventail-01.jpg,2026-09-02-coulisses-compact-ou-eventail-02.jpg,2026-09-02-coulisses-compact-ou-eventail-03.jpg,2026-09-02-coulisses-compact-ou-eventail-04.jpg;;;Mon Artifice — Septembre 2026
2026-09-02;12:30;Europe/Paris;Mon Artifice (instagram);carousel;"Deux feux. Même durée. Rendu totalement différent.

Compact → tout part du même point et monte droit. Puissant, concentré. Idéal quand le public est proche et regarde dans une seule direction.

Éventail → les départs s'ouvrent en largeur. Panoramique, spectaculaire. Idéal quand le public est étalé — et nettement meilleur en vidéo.

Ce n'est pas une question de qualité, les deux sont excellents. C'est une question de terrain et de placement de vos invités.

Vous hésitez ? Décrivez-nous votre lieu en commentaire, on vous oriente gratuitement 👇

#MonArtifice #feudartifice #pyrotechnie #conseilexpert #eventail #artificier #savoirfaire #feuxdartifice #evenementiel #comparatif #france #bonasavoir";2026-09-02-coulisses-compact-ou-eventail-01.jpg,2026-09-02-coulisses-compact-ou-eventail-02.jpg,2026-09-02-coulisses-compact-ou-eventail-03.jpg,2026-09-02-coulisses-compact-ou-eventail-04.jpg;;;Mon Artifice — Septembre 2026
2026-09-04;18:30;Europe/Paris;Mon Artifice (facebook);photo;"Tout le monde parle du feu d'artifice. Personne ne parle des dix secondes d'avant.

Celles où la musique s'arrête. Où quelqu'un dit à voix basse « ça va commencer ». Où cent personnes lèvent les yeux vers un ciel encore parfaitement vide, sans savoir d'où ça va partir.

Nous, on est de l'autre côté du dispositif. On ne regarde pas le ciel : on regarde les gens.

Ces dix secondes-là font déjà partie du spectacle. C'est peut-être même le meilleur moment. 🎆

#feudartifice #MonArtifice #souvenirs";2026-09-04-emotion-le-silence-juste-avant.jpg;;;Mon Artifice — Septembre 2026
2026-09-04;18:30;Europe/Paris;Mon Artifice (instagram);photo;"Tout le monde parle du feu d'artifice.

Personne ne parle des dix secondes d'avant.

Celles où la musique s'arrête. Où quelqu'un dit « ça va commencer ». Où cent personnes regardent un ciel encore vide, sans savoir exactement d'où ça va partir.

Nous, on est de l'autre côté. On regarde les gens, pas le ciel.

Ces dix secondes-là, c'est déjà le spectacle.

#MonArtifice #feudartifice #momentmagique #souvenirs #feuxdartifice #pyrotechnie #emotion #artificier #magique #attente #evenementiel #france";2026-09-04-emotion-le-silence-juste-avant.jpg;;;Mon Artifice — Septembre 2026
2026-09-06;11:00;Europe/Paris;Mon Artifice (facebook);photo;"Question sérieuse — et on lira toutes les réponses.

Pour VOTRE événement, le feu d'artifice idéal, il dure combien de temps ?

⏱️ 30 secondes — un bouquet final, court et très dense
⏱️ 1 min 30 — largement suffisant pour un jardin
⏱️ 3 minutes — le format classique
⏱️ 5 minutes — le vrai spectacle, souvent synchronisé sur musique

Il n'y a pas de mauvaise réponse, mais il y a des mauvais accords. Cinq minutes pour un anniversaire dans un jardin, c'est long. Trente secondes pour un mariage de 150 personnes, c'est frustrant.

Dites-nous en commentaire, on répond à chacun. 👇

#feudartifice #MonArtifice #evenementiel";2026-09-06-communaute-sondage-duree.jpg;;;Mon Artifice — Septembre 2026
2026-09-06;11:00;Europe/Paris;Mon Artifice (instagram);photo;"Question sérieuse — on lira toutes les réponses.

Pour VOTRE événement, le feu idéal, il dure combien de temps ?

30 sec → un bouquet final, court et très dense
1 min 30 → l'entrée de gamme, largement suffisante pour un jardin
3 min → le format classique
5 min → le vrai spectacle, souvent synchronisé sur musique

Il n'y a pas de mauvaise réponse, mais il y a des mauvais accords. 5 minutes pour un anniversaire dans un jardin, c'est long. 30 secondes pour un mariage de 150 personnes, c'est frustrant.

Dites-nous en commentaire 👇 On répond à chacun.

#MonArtifice #feudartifice #feuxdartifice #sondage #evenementiel #mariage #conseilexpert #pyrotechnie #artificier #votreavis #france #soireeprivee";2026-09-06-communaute-sondage-duree.jpg;;;Mon Artifice — Septembre 2026
2026-09-07;19:00;Europe/Paris;Mon Artifice (facebook);carousel;"« Est-ce que je dois prévenir la mairie ? »

C'est de loin la question qu'on nous pose le plus souvent. La réponse honnête : cela dépend de trois choses.

1️⃣ La catégorie du produit — toutes ne sont pas soumises aux mêmes obligations.
2️⃣ Le lieu — un terrain privé et un espace public, ce n'est pas la même chose.
3️⃣ La taille de l'événement — un feu entre amis dans un jardin n'est pas un feu de village.

Notre conseil, systématiquement : passez un coup de fil à votre mairie. C'est gratuit, ça prend cinq minutes, et ça vous évite une très mauvaise surprise le jour J.

Vous avez un cas précis en tête ? Écrivez-nous, on vous répond gratuitement. 🔖

#feudartifice #reglementation #MonArtifice";2026-09-07-pedagogie-prevenir-la-mairie-01.jpg,2026-09-07-pedagogie-prevenir-la-mairie-02.jpg,2026-09-07-pedagogie-prevenir-la-mairie-03.jpg,2026-09-07-pedagogie-prevenir-la-mairie-04.jpg,2026-09-07-pedagogie-prevenir-la-mairie-05.jpg;;;Mon Artifice — Septembre 2026
2026-09-07;19:00;Europe/Paris;Mon Artifice (instagram);carousel;"« Est-ce que je dois prévenir la mairie ? »

C'est LA question qu'on nous pose le plus. Réponse honnête : ça dépend de trois choses.

→ La catégorie du produit
→ Le lieu (terrain privé ou espace public)
→ La taille de l'événement

Un feu dans son jardin et un feu sur la place du village ne relèvent pas des mêmes règles.

Notre conseil : un appel à votre mairie. C'est gratuit, ça prend cinq minutes, et ça vous évite toute mauvaise surprise le jour J.

Une question sur votre cas précis ? Écrivez-nous en message privé, on vous répond 💬

Enregistrez ce post, vous en aurez besoin 🔖

#MonArtifice #feudartifice #reglementation #securite #conseilexpert #pyrotechnie #mairie #evenementiel #artificier #organisationevenement #france #feuxdartifice #bonasavoir";2026-09-07-pedagogie-prevenir-la-mairie-01.jpg,2026-09-07-pedagogie-prevenir-la-mairie-02.jpg,2026-09-07-pedagogie-prevenir-la-mairie-03.jpg,2026-09-07-pedagogie-prevenir-la-mairie-04.jpg,2026-09-07-pedagogie-prevenir-la-mairie-05.jpg;;;Mon Artifice — Septembre 2026
